# Enquête Besoins en Main-d'Œuvre 2026 (France Travail), agrégée par département × famille de métiers FAP.
# Source : Base-open-data-BMO-2026.xlsx (francetravail.org, open data), lue le 28/08/2026 ; somme des bassins d'emploi.
# projets = projets de recrutement déclarés ; difficiles = jugés difficiles ; saisonniers = liés à une activité saisonnière.
# Les cellules secrétisées (« * ») de la source sont ignorées : les totaux sont des minorants.
dept;famille;libelle;projets;difficiles;saisonniers
66;T;Autres techniciens et employés;155;88;10
66;V;Fonctions liées à la vente, au tourisme et aux services;8740;3145;5288
66;Z;Autres métiers;5307;2331;4666
67;A;Fonctions administratives;1790;840;70
67;C;Fonctions d'encadrement;2819;923;324
67;I;Ouvriers des secteurs de l'industrie;3765;2287;704
67;O;Ouvriers de la construction et du bâtiment;2390;1646;179
67;S;Fonctions sociales et médico-sociales;5124;3182;809
67;T;Autres techniciens et employés;811;532;21
67;V;Fonctions liées à la vente, au tourisme et aux services;13528;6277;3231
67;Z;Autres métiers;5750;2280;3520
68;A;Fonctions administratives;842;193;81
68;C;Fonctions d'encadrement;876;420;22
68;I;Ouvriers des secteurs de l'industrie;1839;732;507
68;O;Ouvriers de la construction et du bâtiment;1346;1003;131
68;S;Fonctions sociales et médico-sociales;2093;1073;363
68;T;Autres techniciens et employés;400;266;10
68;V;Fonctions liées à la vente, au tourisme et aux services;9138;4402;2465
68;Z;Autres métiers;4756;2138;3366
69;A;Fonctions administratives;5028;2082;178
69;C;Fonctions d'encadrement;9289;3672;1153
69;I;Ouvriers des secteurs de l'industrie;4564;2615;660
69;O;Ouvriers de la construction et du bâtiment;3273;2050;448
69;S;Fonctions sociales et médico-sociales;8405;5507;2158
69;T;Autres techniciens et employés;2588;1579;107
69;V;Fonctions liées à la vente, au tourisme et aux services;21620;9249;4145
69;Z;Autres métiers;8074;3191;3956
70;A;Fonctions administratives;184;68;51
70;C;Fonctions d'encadrement;274;61;66
70;I;Ouvriers des secteurs de l'industrie;721;380;168
70;O;Ouvriers de la construction et du bâtiment;279;262;18
70;S;Fonctions sociales et médico-sociales;903;607;133
70;T;Autres techniciens et employés;48;37;0
70;V;Fonctions liées à la vente, au tourisme et aux services;1681;928;419
70;Z;Autres métiers;916;384;445
71;A;Fonctions administratives;454;140;68
71;C;Fonctions d'encadrement;845;195;198
71;I;Ouvriers des secteurs de l'industrie;1866;875;420
71;O;Ouvriers de la construction et du bâtiment;859;650;23
71;S;Fonctions sociales et médico-sociales;1988;1279;375
71;T;Autres techniciens et employés;196;154;37
71;V;Fonctions liées à la vente, au tourisme et aux services;6147;2625;2015
71;Z;Autres métiers;4839;2255;3139
72;A;Fonctions administratives;953;132;174
72;C;Fonctions d'encadrement;1107;363;163
72;I;Ouvriers des secteurs de l'industrie;2729;1273;462
72;O;Ouvriers de la construction et du bâtiment;1153;912;99
72;S;Fonctions sociales et médico-sociales;2768;1480;749
72;T;Autres techniciens et employés;324;173;0
72;V;Fonctions liées à la vente, au tourisme et aux services;5840;2483;1496
72;Z;Autres métiers;3672;1461;1904
73;A;Fonctions administratives;1454;486;430
73;C;Fonctions d'encadrement;1299;474;325
73;I;Ouvriers des secteurs de l'industrie;1824;1001;482
73;O;Ouvriers de la construction et du bâtiment;1929;1299;677
73;S;Fonctions sociales et médico-sociales;2194;1330;642
73;T;Autres techniciens et employés;517;401;6
73;V;Fonctions liées à la vente, au tourisme et aux services;12287;4300;8213
73;Z;Autres métiers;2821;1220;1724
74;A;Fonctions administratives;1503;414;279
74;C;Fonctions d'encadrement;1868;916;226
74;I;Ouvriers des secteurs de l'industrie;2460;1444;699
74;O;Ouvriers de la construction et du bâtiment;2007;1514;164
74;S;Fonctions sociales et médico-sociales;4076;2740;1225
74;T;Autres techniciens et employés;603;403;9
74;V;Fonctions liées à la vente, au tourisme et aux services;15087;6418;8314
74;Z;Autres métiers;2985;1382;1600
75;A;Fonctions administratives;15378;3400;1626
75;C;Fonctions d'encadrement;36510;8593;3076
75;I;Ouvriers des secteurs de l'industrie;3074;1476;118
75;O;Ouvriers de la construction et du bâtiment;2923;1377;317
75;S;Fonctions sociales et médico-sociales;8480;3373;1104
75;T;Autres techniciens et employés;2216;593;113
75;V;Fonctions liées à la vente, au tourisme et aux services;47307;14999;6893
75;Z;Autres métiers;2962;1167;503
76;A;Fonctions administratives;1657;583;286
76;C;Fonctions d'encadrement;2910;1070;388
76;I;Ouvriers des secteurs de l'industrie;3819;1968;657
76;O;Ouvriers de la construction et du bâtiment;2004;1271;46
76;S;Fonctions sociales et médico-sociales;6039;2847;1920
76;T;Autres techniciens et employés;1045;663;13
76;V;Fonctions liées à la vente, au tourisme et aux services;13069;5593;4068
76;Z;Autres métiers;3675;1555;1133
77;A;Fonctions administratives;1638;449;111
77;C;Fonctions d'encadrement;3061;1280;245
77;I;Ouvriers des secteurs de l'industrie;2721;1693;251
77;O;Ouvriers de la construction et du bâtiment;2792;1842;66
77;S;Fonctions sociales et médico-sociales;3513;1390;566
77;T;Autres techniciens et employés;1053;609;0
77;V;Fonctions liées à la vente, au tourisme et aux services;12120;3922;1637
77;Z;Autres métiers;6106;2408;1582
78;A;Fonctions administratives;2425;698;282
78;C;Fonctions d'encadrement;4569;1498;362
78;I;Ouvriers des secteurs de l'industrie;2152;1170;82
78;O;Ouvriers de la construction et du bâtiment;1537;923;188
78;S;Fonctions sociales et médico-sociales;4186;2426;402
78;T;Autres techniciens et employés;826;475;35
78;V;Fonctions liées à la vente, au tourisme et aux services;13641;6041;1443
78;Z;Autres métiers;2679;1332;751
79;A;Fonctions administratives;506;234;66
79;C;Fonctions d'encadrement;798;405;18
79;I;Ouvriers des secteurs de l'industrie;2104;1375;310
79;O;Ouvriers de la construction et du bâtiment;940;748;145
79;S;Fonctions sociales et médico-sociales;1487;975;421
79;T;Autres techniciens et employés;201;175;41
79;V;Fonctions liées à la vente, au tourisme et aux services;3470;1646;974
79;Z;Autres métiers;2980;1335;1787
80;A;Fonctions administratives;835;172;169
80;C;Fonctions d'encadrement;1070;201;463
80;I;Ouvriers des secteurs de l'industrie;2319;1033;1080
80;O;Ouvriers de la construction et du bâtiment;750;443;96
80;S;Fonctions sociales et médico-sociales;2333;1127;963
80;T;Autres techniciens et employés;220;104;0
80;V;Fonctions liées à la vente, au tourisme et aux services;5138;2518;1813
80;Z;Autres métiers;3321;1396;2019
81;A;Fonctions administratives;499;134;61
81;C;Fonctions d'encadrement;649;192;144
81;I;Ouvriers des secteurs de l'industrie;1019;453;172
81;O;Ouvriers de la construction et du bâtiment;568;336;51
81;S;Fonctions sociales et médico-sociales;1884;858;534
81;T;Autres techniciens et employés;106;88;8
81;V;Fonctions liées à la vente, au tourisme et aux services;3691;1655;1308
81;Z;Autres métiers;2212;512;1554
82;A;Fonctions administratives;311;33;60
82;C;Fonctions d'encadrement;571;236;97
82;I;Ouvriers des secteurs de l'industrie;1114;561;342
82;O;Ouvriers de la construction et du bâtiment;322;203;23
82;S;Fonctions sociales et médico-sociales;1131;474;447
82;T;Autres techniciens et employés;202;131;19
82;V;Fonctions liées à la vente, au tourisme et aux services;2448;927;1066
82;Z;Autres métiers;4395;1978;3944
83;A;Fonctions administratives;1259;367;359
83;C;Fonctions d'encadrement;3427;821;474
83;I;Ouvriers des secteurs de l'industrie;1886;843;476
83;O;Ouvriers de la construction et du bâtiment;2244;1019;281
83;S;Fonctions sociales et médico-sociales;4207;1697;2239
83;T;Autres techniciens et employés;440;249;13
83;V;Fonctions liées à la vente, au tourisme et aux services;24444;10526;15746
83;Z;Autres métiers;6841;2190;4690
84;A;Fonctions administratives;931;178;271
84;C;Fonctions d'encadrement;2243;481;798
84;I;Ouvriers des secteurs de l'industrie;1691;645;620
84;O;Ouvriers de la construction et du bâtiment;1166;519;108
84;S;Fonctions sociales et médico-sociales;1951;707;586
84;T;Autres techniciens et employés;206;134;15
84;V;Fonctions liées à la vente, au tourisme et aux services;8829;3608;4845
84;Z;Autres métiers;11510;3460;9642
85;A;Fonctions administratives;1134;392;396
85;C;Fonctions d'encadrement;1366;569;276
85;I;Ouvriers des secteurs de l'industrie;4424;2987;989
85;O;Ouvriers de la construction et du bâtiment;1720;1301;139
85;S;Fonctions sociales et médico-sociales;3790;1667;1852
85;T;Autres techniciens et employés;543;430;21
85;V;Fonctions liées à la vente, au tourisme et aux services;14415;5631;8726
85;Z;Autres métiers;5938;2839;3993
86;A;Fonctions administratives;966;147;305
86;C;Fonctions d'encadrement;1178;471;466
86;I;Ouvriers des secteurs de l'industrie;1424;818;340
86;O;Ouvriers de la construction et du bâtiment;888;621;0
86;S;Fonctions sociales et médico-sociales;2267;1620;497
86;T;Autres techniciens et employés;427;252;0
86;V;Fonctions liées à la vente, au tourisme et aux services;6080;2012;1934
86;Z;Autres métiers;2530;1352;1543
87;A;Fonctions administratives;484;157;42
87;C;Fonctions d'encadrement;882;166;53
87;I;Ouvriers des secteurs de l'industrie;995;516;68
87;O;Ouvriers de la construction et du bâtiment;723;480;87
87;S;Fonctions sociales et médico-sociales;1507;929;569
87;T;Autres techniciens et employés;253;213;12
87;V;Fonctions liées à la vente, au tourisme et aux services;3714;1944;1343
87;Z;Autres métiers;1774;910;1100
88;A;Fonctions administratives;311;100;34
88;C;Fonctions d'encadrement;351;114;38
88;I;Ouvriers des secteurs de l'industrie;1382;827;170
88;O;Ouvriers de la construction et du bâtiment;709;560;73
88;S;Fonctions sociales et médico-sociales;1116;616;409
88;T;Autres techniciens et employés;115;61;5
88;V;Fonctions liées à la vente, au tourisme et aux services;3305;1273;1271
88;Z;Autres métiers;1091;453;417
89;A;Fonctions administratives;358;123;76
89;C;Fonctions d'encadrement;526;184;19
89;I;Ouvriers des secteurs de l'industrie;1172;702;203
89;O;Ouvriers de la construction et du bâtiment;571;360;6
89;S;Fonctions sociales et médico-sociales;1208;481;461
89;T;Autres techniciens et employés;320;84;64
89;V;Fonctions liées à la vente, au tourisme et aux services;3724;1414;1090
89;Z;Autres métiers;2547;1063;1599
90;A;Fonctions administratives;159;37;21
90;C;Fonctions d'encadrement;114;30;39
90;I;Ouvriers des secteurs de l'industrie;228;96;22
90;O;Ouvriers de la construction et du bâtiment;112;76;0
90;S;Fonctions sociales et médico-sociales;650;367;103
90;T;Autres techniciens et employés;38;27;0
90;V;Fonctions liées à la vente, au tourisme et aux services;1319;577;359
90;Z;Autres métiers;219;41;86
91;A;Fonctions administratives;1620;489;78
91;C;Fonctions d'encadrement;4195;1540;275
91;I;Ouvriers des secteurs de l'industrie;2362;929;198
91;O;Ouvriers de la construction et du bâtiment;2409;1114;191
91;S;Fonctions sociales et médico-sociales;3755;1738;961
91;T;Autres techniciens et employés;1094;755;37
91;V;Fonctions liées à la vente, au tourisme et aux services;10779;3161;1410
91;Z;Autres métiers;4305;1514;595
92;A;Fonctions administratives;6632;1938;316
92;C;Fonctions d'encadrement;20270;8941;671
92;I;Ouvriers des secteurs de l'industrie;2101;1109;138
92;O;Ouvriers de la construction et du bâtiment;1986;1030;148
92;S;Fonctions sociales et médico-sociales;7591;2845;1474
92;T;Autres techniciens et employés;2187;1119;0
92;V;Fonctions liées à la vente, au tourisme et aux services;23269;6608;1760
92;Z;Autres métiers;2093;859;237
93;A;Fonctions administratives;6203;895;3665
93;C;Fonctions d'encadrement;8239;1650;532
93;I;Ouvriers des secteurs de l'industrie;2066;883;6
93;O;Ouvriers de la construction et du bâtiment;3411;1497;139
93;S;Fonctions sociales et médico-sociales;6753;3086;707
93;T;Autres techniciens et employés;1216;689;21
93;V;Fonctions liées à la vente, au tourisme et aux services;14028;4132;1483
93;Z;Autres métiers;3771;1174;425
94;A;Fonctions administratives;1722;510;22
94;C;Fonctions d'encadrement;5562;1215;548
94;I;Ouvriers des secteurs de l'industrie;1415;804;30
94;O;Ouvriers de la construction et du bâtiment;1984;1058;54
94;S;Fonctions sociales et médico-sociales;4553;1925;540
94;T;Autres techniciens et employés;669;342;42
94;V;Fonctions liées à la vente, au tourisme et aux services;12076;4418;1186
94;Z;Autres métiers;3547;1429;320
95;A;Fonctions administratives;1931;776;325
95;C;Fonctions d'encadrement;3933;1221;526
95;I;Ouvriers des secteurs de l'industrie;1877;1023;187
95;O;Ouvriers de la construction et du bâtiment;3509;2228;558
95;S;Fonctions sociales et médico-sociales;3858;1584;521
95;T;Autres techniciens et employés;1249;720;0
95;V;Fonctions liées à la vente, au tourisme et aux services;8893;3149;818
95;Z;Autres métiers;3853;1344;441
971;A;Fonctions administratives;971;390;117
971;C;Fonctions d'encadrement;650;393;128
971;I;Ouvriers des secteurs de l'industrie;700;376;133
971;O;Ouvriers de la construction et du bâtiment;1676;1065;233
971;S;Fonctions sociales et médico-sociales;1704;705;503
971;T;Autres techniciens et employés;308;227;61
971;V;Fonctions liées à la vente, au tourisme et aux services;5551;2131;2019
971;Z;Autres métiers;1645;670;477
972;A;Fonctions administratives;938;204;113
972;C;Fonctions d'encadrement;617;157;72
972;I;Ouvriers des secteurs de l'industrie;696;459;56
972;O;Ouvriers de la construction et du bâtiment;1157;664;148
972;S;Fonctions sociales et médico-sociales;2033;808;508
972;T;Autres techniciens et employés;211;133;13
972;V;Fonctions liées à la vente, au tourisme et aux services;4448;2098;1134
972;Z;Autres métiers;2245;928;518
973;A;Fonctions administratives;332;129;7
973;C;Fonctions d'encadrement;411;176;27
973;I;Ouvriers des secteurs de l'industrie;248;132;0
973;O;Ouvriers de la construction et du bâtiment;800;384;91
973;S;Fonctions sociales et médico-sociales;1380;788;120
973;T;Autres techniciens et employés;162;113;0
973;V;Fonctions liées à la vente, au tourisme et aux services;1949;782;475
973;Z;Autres métiers;1008;567;156
974;A;Fonctions administratives;2062;565;138
974;C;Fonctions d'encadrement;1854;551;265
974;I;Ouvriers des secteurs de l'industrie;2001;758;470
974;O;Ouvriers de la construction et du bâtiment;3065;1665;359
974;S;Fonctions sociales et médico-sociales;5441;1501;636
974;T;Autres techniciens et employés;283;183;0
974;V;Fonctions liées à la vente, au tourisme et aux services;14053;4752;1584
974;Z;Autres métiers;4832;1598;873
976;A;Fonctions administratives;685;392;92
976;C;Fonctions d'encadrement;564;351;91
976;I;Ouvriers des secteurs de l'industrie;416;249;73
976;O;Ouvriers de la construction et du bâtiment;1505;957;359
976;S;Fonctions sociales et médico-sociales;807;508;180
976;T;Autres techniciens et employés;257;179;75
976;V;Fonctions liées à la vente, au tourisme et aux services;2560;1328;619
976;Z;Autres métiers;1114;464;375
